noise,fitness,precision,generalization,simplicity,is_sound
0.1,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.15000000000000002,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.2,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.25,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.3,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.35,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.39999999999999997,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.45,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.5,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.55,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.6000000000000001,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.65,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.7000000000000001,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.75,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.8,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.8500000000000001,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.9,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
0.9500000000000001,0.8241758241758241,0.6666666666666667,0.37647717655693236,1.0,True
