noise,fitness,precision,generalization,simplicity,is_sound
0.1,0.8332588751016115,0.4290375203915171,0.6849311223888273,0.6326530612244898,True
0.15000000000000002,0.8311921024466035,0.453839516824849,0.6944611112986729,0.6421052631578946,True
0.2,0.8311921024466035,0.453839516824849,0.6944611112986729,0.6421052631578946,True
0.25,0.8311921024466035,0.453839516824849,0.6944611112986729,0.6421052631578946,True
0.3,0.8220341465813306,0.5,0.5712981973872131,0.6271186440677966,True
0.35,0.8086801056390542,0.5074775672981057,0.6280104921249979,0.6310679611650485,True
0.39999999999999997,0.7897976124708469,0.5073839662447257,0.6299693169383606,0.64,True
0.45,0.7460605513376144,0.4098360655737705,0.6716405528983977,0.6338028169014084,True
0.5,0.7460605513376144,0.4098360655737705,0.6716405528983977,0.6338028169014084,True
0.55,0.7423604391574359,0.41736694677871145,0.6733941915672119,0.6338028169014084,True
0.6000000000000001,0.7413400309941706,0.41736694677871145,0.6733793816496264,0.6470588235294118,True
0.65,0.6961780134599356,0.5046728971962617,0.6611359694477187,0.6507936507936508,True
0.7000000000000001,0.6458558848209013,0.5046728971962617,0.6383414298493579,0.6901408450704225,True
0.75,0.6458558848209013,0.5046728971962617,0.6392824594707075,0.6969696969696969,True
0.8,0.6458558848209013,0.5046728971962617,0.6392824594707075,0.6969696969696969,True
0.8500000000000001,0.6458558848209013,0.5046728971962617,0.6392824594707075,0.6969696969696969,True
0.9,0.6458558848209013,0.5046728971962617,0.6392824594707075,0.6969696969696969,True
0.9500000000000001,0.6278876455569956,0.6033519553072626,0.6353394344406256,0.7142857142857143,True
